ORDER_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,CATEGORY,SALES
CA-2017-152156,2017-11-08,CG-12520,FUR-BO-10001798,Furniture,261.96
CA-2017-152156,2017-11-08,CG-12520,FUR-CH-10000454,Furniture,731.94
CA-2017-138688,2017-06-12,DV-13045,OFF-LA-10000240,Office Supplies,14.62
US-2016-108966,2016-10-11,SO-20335,FUR-TA-10000577,Furniture,957.58
US-2016-108966,2016-10-11,SO-20335,OFF-ST-10000760,Office Supplies,22.37
CA-2018-114412,2018-04-15,AA-10480,OFF-PA-10002365,Office Supplies,15.55
CA-2017-161389,2017-12-05,IM-15070,OFF-BI-10003656,Office Supplies,407.98
US-2016-118983,2016-11-22,HP-14815,OFF-AP-10002311,Office Supplies,68.81
US-2016-118983,2016-11-22,HP-14815,OFF-BI-10000756,Office Supplies,2.54
CA-2017-137330,2017-12-09,KB-16585,OFF-AR-10000246,Office Supplies,19.46
CA-2017-137330,2017-12-09,KB-16585,OFF-AP-10001492,Office Supplies,60.34
US-2018-156909,2018-07-16,SF-20065,FUR-CH-10002774,Furniture,71.37
CA-2016-106320,2016-09-25,EB-13870,FUR-TA-10000577,Furniture,1044.63
CA-2017-121755,2017-01-16,EH-13945,OFF-BI-10001634,Office Supplies,11.65
CA-2017-121755,2017-01-16,EH-13945,TEC-AC-10003027,Technology,90.57
US-2016-150630,2016-09-17,TB-21520,FUR-BO-10004834,Furniture,3083.43
US-2016-150630,2016-09-17,TB-21520,OFF-BI-10000474,Office Supplies,9.62
US-2016-150630,2016-09-17,TB-21520,FUR-FU-10004848,Furniture,124.20
US-2016-150630,2016-09-17,TB-21520,OFF-EN-10001509,Office Supplies,3.26
US-2016-150630,2016-09-17,TB-21520,OFF-AR-10004042,Office Supplies,86.30
US-2016-150630,2016-09-17,TB-21520,OFF-BI-10001525,Office Supplies,6.86
US-2016-150630,2016-09-17,TB-21520,OFF-AR-10001683,Office Supplies,15.76
CA-2018-107727,2018-10-19,MA-17560,OFF-PA-10000249,Office Supplies,29.47
CA-2017-117590,2017-12-08,GH-14485,TEC-PH-10004977,Technology,1097.54
CA-2017-117590,2017-12-08,GH-14485,FUR-FU-10003664,Furniture,190.92
CA-2016-117415,2016-12-27,SN-20710,OFF-EN-10002986,Office Supplies,113.33
CA-2016-117415,2016-12-27,SN-20710,FUR-BO-10002545,Furniture,532.40
CA-2016-117415,2016-12-27,SN-20710,FUR-CH-10004218,Furniture,212.06
CA-2016-117415,2016-12-27,SN-20710,TEC-PH-10000486,Technology,371.17
CA-2018-120999,2018-09-10,LC-16930,TEC-PH-10004093,Technology,147.17
CA-2017-101343,2017-07-17,RA-19885,OFF-ST-10003479,Office Supplies,77.88
CA-2018-139619,2018-09-19,ES-14080,OFF-ST-10003282,Office Supplies,95.62
CA-2017-118255,2017-03-11,ON-18715,TEC-AC-10000171,Technology,45.98
CA-2017-118255,2017-03-11,ON-18715,OFF-BI-10003291,Office Supplies,17.46
CA-2017-169194,2017-06-20,LH-16900,TEC-AC-10002167,Technology,45.00
CA-2017-169194,2017-06-20,LH-16900,TEC-PH-10003988,Technology,21.80
CA-2016-115742,2016-04-18,DP-13000,OFF-BI-10004410,Office Supplies,38.22
CA-2016-115742,2016-04-18,DP-13000,OFF-LA-10002762,Office Supplies,75.18
CA-2016-115742,2016-04-18,DP-13000,FUR-FU-10001706,Furniture,6.16
CA-2016-115742,2016-04-18,DP-13000,FUR-CH-10003061,Furniture,89.99
CA-2017-105816,2017-12-11,JM-15265,OFF-FA-10000304,Office Supplies,15.26
CA-2017-105816,2017-12-11,JM-15265,TEC-PH-10002447,Technology,1029.95
CA-2017-111682,2017-06-17,TB-21055,OFF-ST-10000604,Office Supplies,208.56
CA-2017-111682,2017-06-17,TB-21055,OFF-PA-10001569,Office Supplies,32.40
CA-2017-111682,2017-06-17,TB-21055,FUR-CH-10003968,Furniture,319.41
CA-2017-111682,2017-06-17,TB-21055,OFF-PA-10000587,Office Supplies,14.56
CA-2017-111682,2017-06-17,TB-21055,TEC-AC-10002167,Technology,30.00
CA-2017-111682,2017-06-17,TB-21055,OFF-BI-10001460,Office Supplies,48.48
CA-2017-111682,2017-06-17,TB-21055,OFF-AR-10001868,Office Supplies,1.68
CA-2016-135545,2016-11-24,KM-16720,TEC-AC-10004633,Technology,13.98
CA-2016-135545,2016-11-24,KM-16720,OFF-BI-10001078,Office Supplies,25.82
CA-2016-135545,2016-11-24,KM-16720,OFF-PA-10003892,Office Supplies,146.73
