DATE_KEY,YEAR,QUARTER,MONTH,MONTH_NAME,DAY,DAY_OF_WEEK
2016-12-27,2016,4,12,Dec,27,Tue
2018-09-19,2018,3,9,Sep,19,Wed
2018-12-09,2018,4,12,Dec,9,Sun
2017-04-05,2017,2,4,Apr,5,Wed
2018-12-22,2018,4,12,Dec,22,Sat
2015-03-01,2015,1,3,Mar,1,Sun
2017-11-20,2017,4,11,Nov,20,Mon
2015-08-26,2015,3,8,Aug,26,Wed
2015-10-20,2015,4,10,Oct,20,Tue
2017-09-17,2017,3,9,Sep,17,Sun
2015-12-26,2015,4,12,Dec,26,Sat
2016-01-02,2016,1,1,Jan,2,Sat
2017-03-13,2017,1,3,Mar,13,Mon
2015-08-03,2015,3,8,Aug,3,Mon
2018-10-13,2018,4,10,Oct,13,Sat
2015-08-09,2015,3,8,Aug,9,Sun
2015-11-04,2015,4,11,Nov,4,Wed
2017-04-25,2017,2,4,Apr,25,Tue
2015-04-13,2015,2,4,Apr,13,Mon
2016-12-03,2016,4,12,Dec,3,Sat
2018-12-08,2018,4,12,Dec,8,Sat
2018-08-21,2018,3,8,Aug,21,Tue
2015-09-12,2015,3,9,Sep,12,Sat
2015-07-22,2015,3,7,Jul,22,Wed
2015-10-29,2015,4,10,Oct,29,Thu
2016-03-22,2016,1,3,Mar,22,Tue
2018-10-21,2018,4,10,Oct,21,Sun
2017-07-14,2017,3,7,Jul,14,Fri
2015-01-09,2015,1,1,Jan,9,Fri
2015-05-23,2015,2,5,May,23,Sat
2016-10-04,2016,4,10,Oct,4,Tue
2016-03-28,2016,1,3,Mar,28,Mon
2017-09-01,2017,3,9,Sep,1,Fri
2015-06-07,2015,2,6,Jun,7,Sun
2015-06-22,2015,2,6,Jun,22,Mon
2015-02-12,2015,1,2,Feb,12,Thu
2017-10-20,2017,4,10,Oct,20,Fri
2018-12-07,2018,4,12,Dec,7,Fri
2018-06-19,2018,2,6,Jun,19,Tue
2018-01-30,2018,1,1,Jan,30,Tue
2017-08-18,2017,3,8,Aug,18,Fri
2015-10-13,2015,4,10,Oct,13,Tue
2016-03-20,2016,1,3,Mar,20,Sun
2015-04-06,2015,2,4,Apr,6,Mon
2018-08-25,2018,3,8,Aug,25,Sat
2017-01-17,2017,1,1,Jan,17,Tue
2015-09-17,2015,3,9,Sep,17,Thu
2017-11-10,2017,4,11,Nov,10,Fri
2016-04-11,2016,2,4,Apr,11,Mon
2015-09-22,2015,3,9,Sep,22,Tue
2016-04-04,2016,2,4,Apr,4,Mon
2018-12-18,2018,4,12,Dec,18,Tue
2015-09-01,2015,3,9,Sep,1,Tue
2017-05-23,2017,2,5,May,23,Tue
2015-05-06,2015,2,5,May,6,Wed
2017-05-16,2017,2,5,May,16,Tue
2015-10-03,2015,4,10,Oct,3,Sat
2018-04-26,2018,2,4,Apr,26,Thu
2017-04-19,2017,2,4,Apr,19,Wed
2018-08-05,2018,3,8,Aug,5,Sun
2016-10-01,2016,4,10,Oct,1,Sat
2016-05-01,2016,2,5,May,1,Sun
2017-11-26,2017,4,11,Nov,26,Sun
2016-05-16,2016,2,5,May,16,Mon
2015-02-03,2015,1,2,Feb,3,Tue
2018-08-31,2018,3,8,Aug,31,Fri
2017-04-09,2017,2,4,Apr,9,Sun
2015-04-04,2015,2,4,Apr,4,Sat
2015-11-23,2015,4,11,Nov,23,Mon
