ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_DATE,SALES
CA-2017-152156,CG-12520,FUR-BO-10001798,2017-11-08,261.96
CA-2017-152156,CG-12520,FUR-CH-10000454,2017-11-08,731.94
CA-2017-138688,DV-13045,OFF-LA-10000240,2017-06-12,14.62
US-2016-108966,SO-20335,FUR-TA-10000577,2016-10-11,957.58
US-2016-108966,SO-20335,OFF-ST-10000760,2016-10-11,22.37
CA-2018-114412,AA-10480,OFF-PA-10002365,2018-04-15,15.55
CA-2017-161389,IM-15070,OFF-BI-10003656,2017-12-05,407.98
US-2016-118983,HP-14815,OFF-AP-10002311,2016-11-22,68.81
US-2016-118983,HP-14815,OFF-BI-10000756,2016-11-22,2.54
CA-2017-137330,KB-16585,OFF-AR-10000246,2017-12-09,19.46
CA-2017-137330,KB-16585,OFF-AP-10001492,2017-12-09,60.34
US-2018-156909,SF-20065,FUR-CH-10002774,2018-07-16,71.37
CA-2016-106320,EB-13870,FUR-TA-10000577,2016-09-25,1044.63
CA-2017-121755,EH-13945,OFF-BI-10001634,2017-01-16,11.65
CA-2017-121755,EH-13945,TEC-AC-10003027,2017-01-16,90.57
US-2016-150630,TB-21520,FUR-BO-10004834,2016-09-17,3083.43
US-2016-150630,TB-21520,OFF-BI-10000474,2016-09-17,9.62
US-2016-150630,TB-21520,FUR-FU-10004848,2016-09-17,124.20
US-2016-150630,TB-21520,OFF-EN-10001509,2016-09-17,3.26
US-2016-150630,TB-21520,OFF-AR-10004042,2016-09-17,86.30
US-2016-150630,TB-21520,OFF-BI-10001525,2016-09-17,6.86
US-2016-150630,TB-21520,OFF-AR-10001683,2016-09-17,15.76
CA-2018-107727,MA-17560,OFF-PA-10000249,2018-10-19,29.47
CA-2017-117590,GH-14485,TEC-PH-10004977,2017-12-08,1097.54
CA-2017-117590,GH-14485,FUR-FU-10003664,2017-12-08,190.92
CA-2016-117415,SN-20710,OFF-EN-10002986,2016-12-27,113.33
CA-2016-117415,SN-20710,FUR-BO-10002545,2016-12-27,532.40
CA-2016-117415,SN-20710,FUR-CH-10004218,2016-12-27,212.06
CA-2016-117415,SN-20710,TEC-PH-10000486,2016-12-27,371.17
CA-2018-120999,LC-16930,TEC-PH-10004093,2018-09-10,147.17
CA-2017-101343,RA-19885,OFF-ST-10003479,2017-07-17,77.88
CA-2018-139619,ES-14080,OFF-ST-10003282,2018-09-19,95.62
CA-2017-118255,ON-18715,TEC-AC-10000171,2017-03-11,45.98
CA-2017-118255,ON-18715,OFF-BI-10003291,2017-03-11,17.46
CA-2017-169194,LH-16900,TEC-AC-10002167,2017-06-20,45.00
CA-2017-169194,LH-16900,TEC-PH-10003988,2017-06-20,21.80
CA-2016-115742,DP-13000,OFF-BI-10004410,2016-04-18,38.22
CA-2016-115742,DP-13000,OFF-LA-10002762,2016-04-18,75.18
CA-2016-115742,DP-13000,FUR-FU-10001706,2016-04-18,6.16
CA-2016-115742,DP-13000,FUR-CH-10003061,2016-04-18,89.99
CA-2017-105816,JM-15265,OFF-FA-10000304,2017-12-11,15.26
CA-2017-105816,JM-15265,TEC-PH-10002447,2017-12-11,1029.95
CA-2017-111682,TB-21055,OFF-ST-10000604,2017-06-17,208.56
CA-2017-111682,TB-21055,OFF-PA-10001569,2017-06-17,32.40
CA-2017-111682,TB-21055,FUR-CH-10003968,2017-06-17,319.41
CA-2017-111682,TB-21055,OFF-PA-10000587,2017-06-17,14.56
CA-2017-111682,TB-21055,TEC-AC-10002167,2017-06-17,30.00
CA-2017-111682,TB-21055,OFF-BI-10001460,2017-06-17,48.48
